State,State ABBR,2006 Prescribing Rate,2007 Prescribing Rate,2008 Prescribing Rate,2009 Prescribing Rate,2010 Prescribing Rate,2011 Prescribing Rate
Alabama,AL,115.6,120.3,126.1,131.6,134.3,136.6
Alaska,AK,63.4,66.6,68.5,67.3,68.4,68
Arizona,AZ,74.3,77.8,80.9,84.2,88.5,88.6
Arkansas,AR,98.3,108.2,112.1,116,120.8,115.2
California,CA,51,53.6,55.1,55.6,55.8,55.9
Colorado,CO,62.2,65.9,67.7,69.8,72,73
Connecticut,CT,64.7,67.5,68.7,68.1,68.6,69.1
Delaware,DE,86.6,92.3,95.4,97.5,101.1,99.7
District of Columbia,DC,31.7,41.2,34.5,34.4,37.1,39.8
Florida,FL,79.7,82.2,84.3,86.3,87.6,83.5
Georgia,GA,79.8,82.5,86.3,88.2,90.2,88.6
Hawaii,HI,42.3,44.5,46.6,47.8,50.1,50.1
Idaho,ID,75.6,78.8,82.7,85.2,88.6,91.4
Illinois,IL,55.6,59.2,60.2,61,63.1,64.3
Indiana,IN,94.3,99.7,103.3,105.6,107.1,106.7
Iowa,IA,59.3,57.1,59.1,60.4,62.3,64
Kansas,KS,77.5,80.6,82.7,82.8,86.1,87.8
Kentucky,KY,122.6,130.8,136.6,135.2,136.5,137
Louisiana,LA,109.2,110.1,113.7,113,112.6,111.7
Maine,ME,83.6,85.4,88.7,87.9,92.8,93.1
Maryland,MD,60.1,63.3,65.5,66.9,71.2,72.9
Massachusetts,MA,66,68.2,69.2,68.9,67.9,65.9
Michigan,MI,80.2,85.6,89.9,91.6,96,98.8
Minnesota,MN,50.3,53.7,56.5,58.6,59,60
Mississippi,MS,102.7,109.9,113.2,117.3,118.1,117.2
Missouri,MO,80.5,84.3,86.8,88.5,91,91.6
Montana,MT,79.1,81.1,85.3,85.8,87.2,85.3
Nebraska,NE,64.3,65.1,66.2,66.4,69,68.8
Nevada,NV,87.7,90.2,97,94,97.3,100.3
New Hampshire,NH,75,78.5,81.7,81.5,81.6,80.9
New Jersey,NJ,54.7,57.2,59.5,59.9,61,61.5
New Mexico,NM,61.8,69,71.4,75.3,81.9,81.6
New York,NY,44.2,46.1,48.4,49.5,51,51.1
North Carolina,NC,85.2,87.5,88.6,89.3,93.1,93.5
North Dakota,ND,56,59.3,61.7,60.3,63,61.3
Ohio,OH,87.7,92.7,97.5,100.4,102.4,101.5
Oklahoma,OK,108.7,114.4,111.3,115,119.6,122.3
Oregon,OR,91,95.5,99.1,99.3,101.2,100.7
Pennsylvania,PA,69.5,73.7,76.5,78.1,81,81.7
Rhode Island,RI,78.7,82.2,82.9,82.5,82.7,82.5
South Carolina,SC,90.4,91.7,94.1,95.8,98.6,96.8
South Dakota,SD,50,49.9,52.1,52.3,54,55.1
Tennessee,TN,124.8,128.8,132.9,138.4,140,138.5
Texas,TX,66.8,71.2,71.3,71.8,73,72
Utah,UT,87,89.8,91.3,86.9,86.6,85.2
Vermont,VT,56.9,56,56.5,54.5,54.1,53.6
Virginia,VA,67.2,70.1,73,74.1,75.5,76.6
Washington,WA,80.8,84.4,86.6,86.1,85,81.6
West Virginia,WV,129.9,135.1,145.5,146.9,143.1,139.6
Wisconsin,WI,64.7,69.2,70.6,71.9,74.4,75.2
Wyoming,WY,79.9,80.8,81,81,80.4,78.2